year,state,Per capita personal income,Population
1929,AL,319,2644000
1929,AR,303,1852000
1929,AZ,598,430000
1929,CA,994,5531000
1929,CO,631,1008000
1929,CT,1029,1594000
1929,DC,1324,483000
1929,DE,1031,236000
1929,FL,519,1445000
1929,GA,343,2903000
1929,IA,571,2460000
1929,ID,499,447000
1929,IL,951,7606000
1929,IN,605,3226000
1929,KS,526,1867000
1929,KY,388,2606000
1929,LA,409,2086000
1929,MA,911,4229000
1929,MD,775,1621000
1929,ME,600,797000
1929,MI,792,4795000
1929,MN,594,2572000
1929,MO,619,3622000
1929,MS,277,1998000
1929,MT,592,524000
1929,NC,327,3133000
1929,ND,377,674000
1929,NE,584,1375000
1929,NH,688,467000
1929,NJ,921,3989000
1929,NM,405,420000
1929,NV,874,90000
1929,NY,1156,12171000
1929,OH,772,6626000
1929,OK,449,2372000
1929,OR,666,947000
1929,PA,776,9723000
1929,RI,881,684000
1929,SC,267,1739000
1929,SD,415,690000
1929,TN,373,2604000
1929,TX,474,5762000
1929,UT,548,508000
1929,VA,435,2425000
1929,VT,630,359000
1929,WA,740,1555000
1929,WI,670,2934000
1929,WV,459,1717000
1929,WY,672,223000
1930,AL,263,2647000
1930,AR,224,1859000
1930,AZ,518,434000
1930,CA,889,5711000
1930,CO,574,1040000
1930,CT,927,1613000
1930,DC,1314,488000
1930,DE,858,239000
1930,FL,468,1471000
1930,GA,303,2910000
1930,IA,501,2475000
1930,ID,488,447000
1930,IL,810,7644000
1930,IN,512,3242000
1930,KS,460,1883000
1930,KY,322,2623000
1930,LA,353,2105000
1930,MA,842,4250000
1930,MD,721,1636000
1930,ME,574,800000
1930,MI,658,4834000
1930,MN,547,2576000
1930,MO,560,3646000
1930,MS,197,2006000
1930,MT,501,539000
1930,NC,287,3167000
1930,ND,308,682000
1930,NE,510,1380000
1930,NH,648,466000
1930,NJ,851,4068000
1930,NM,333,427000
1930,NV,834,92000
1930,NY,1042,12647000
1930,OH,664,6662000
1930,OK,365,2401000
1930,OR,605,956000
1930,PA,717,9649000
1930,RI,795,686000
1930,SC,239,1745000
1930,SD,357,693000
1930,TN,321,2619000
1930,TX,407,5844000
1930,UT,494,509000
1930,VA,387,2427000
1930,VT,572,360000
1930,WA,657,1568000
1930,WI,585,2950000
1930,WV,407,1733000
1930,WY,582,226000
1931,AL,220,2649000
1931,AR,207,1848000
1931,AZ,430,429000
1931,CA,753,5824000
1931,CO,472,1056000
1931,CT,807,1628000
1931,DC,1253,504000
1931,DE,776,242000
1931,FL,397,1493000
1931,GA,254,2924000
1931,IA,396,2482000
1931,ID,366,454000
1931,IL,673,7687000
1931,IN,435,3257000
1931,KS,394,1881000
1931,KY,287,2652000
1931,LA,315,2124000
1931,MA,766,4248000
1931,MD,646,1657000
1931,ME,492,807000
1931,MI,540,4798000
1931,MN,457,2614000
1931,MO,489,3711000
1931,MS,169,1994000
1931,MT,387,540000
1931,NC,244,3184000
1931,ND,195,680000
1931,NE,409,1384000
1931,NH,560,470000
1931,NJ,741,4120000
1931,NM,287,436000
1931,NV,665,94000
1931,NY,889,12848000
1931,OH,563,6694000
1931,OK,294,2403000
1931,OR,504,966000
1931,PA,605,9707000
1931,RI,718,681000
1931,SC,203,1753000
1931,SD,242,694000
1931,TN,273,2657000
1931,TX,345,5907000
1931,UT,372,513000
1931,VA,371,2445000
1931,VT,471,359000
1931,WA,534,1581000
1931,WI,469,2990000
1931,WV,354,1740000
1931,WY,477,229000
1932,AL,159,2653000
1932,AR,152,1836000
1932,AZ,322,426000
1932,CA,584,5894000
1932,CO,357,1066000
1932,CT,627,1637000
1932,DC,1107,513000
1932,DE,591,245000
1932,FL,317,1521000
1932,GA,197,2935000
1932,IA,293,2489000
1932,ID,268,459000
1932,IL,489,7736000
1932,IN,308,3281000
1932,KS,267,1883000
1932,KY,209,2676000
1932,LA,238,2155000
1932,MA,622,4259000
1932,MD,522,1678000
1932,ME,380,815000
1932,MI,395,4780000
1932,MN,361,2646000
1932,MO,365,3746000
1932,MS,122,2004000
1932,MT,334,540000
1932,NC,183,3227000
1932,ND,178,676000
1932,NE,303,1386000
1932,NH,430,474000
1932,NJ,593,4120000
1932,NM,208,441000
1932,NV,557,96000
1932,NY,686,13001000
1932,OH,403,6717000
1932,OK,214,2394000
1932,OR,377,972000
1932,PA,455,9764000
1932,RI,584,677000
1932,SC,156,1748000
1932,SD,189,692000
1932,TN,194,2711000
1932,TX,262,5961000
1932,UT,304,517000
1932,VA,286,2452000
1932,VT,363,358000
1932,WA,402,1584000
1932,WI,362,3021000
1932,WV,257,1747000
1932,WY,375,230000
1933,AL,164,2661000
1933,AR,153,1854000
1933,AZ,309,426000
1933,CA,550,5963000
1933,CO,353,1071000
1933,CT,591,1642000
1933,DC,945,529000
1933,DE,566,248000
1933,FL,289,1552000
1933,GA,202,2950000
1933,IA,252,2495000
1933,ID,228,464000
1933,IL,441,7768000
1933,IN,294,3304000
1933,KS,251,1877000
1933,KY,204,2698000
1933,LA,226,2178000
1933,MA,568,4282000
1933,MD,475,1694000
1933,ME,373,821000
1933,MI,348,4780000
1933,MN,310,2673000
1933,MO,334,3773000
1933,MS,127,2031000
1933,MT,299,541000
1933,NC,203,3268000
1933,ND,151,674000
1933,NE,273,1385000
1933,NH,420,477000
1933,NJ,529,4107000
1933,NM,211,449000
1933,NV,499,96000
1933,NY,634,13126000
1933,OH,387,6740000
1933,OK,220,2392000
1933,OR,357,978000
1933,PA,423,9784000
1933,RI,569,675000
1933,SC,172,1752000
1933,SD,136,690000
1933,TN,201,2747000
1933,TX,254,6014000
1933,UT,297,520000
1933,VA,286,2460000
1933,VT,337,357000
1933,WA,376,1592000
1933,WI,334,3040000
1933,WV,259,1752000
1933,WY,372,230000
1934,AL,207,2685000
1934,AR,182,1878000
1934,AZ,362,428000
1934,CA,605,6060000
1934,CO,372,1075000
1934,CT,661,1650000
1934,DC,963,568000
1934,DE,647,250000
1934,FL,348,1585000
1934,GA,241,2964000
1934,IA,271,2510000
1934,ID,389,473000
1934,IL,508,7772000
1934,IN,357,3319000
1934,KS,288,1868000
1934,KY,232,2722000
1934,LA,263,2202000
1934,MA,618,4305000
1934,MD,532,1710000
1934,ME,418,829000
1934,MI,454,4798000
1934,MN,359,2695000
1934,MO,368,3784000
1934,MS,167,2050000
1934,MT,365,545000
1934,NC,247,3304000
1934,ND,184,672000
1934,NE,264,1382000
1934,NH,480,480000
1934,NJ,578,4089000
1934,NM,246,461000
1934,NV,560,98000
1934,NY,688,13253000
1934,OH,457,6751000
1934,OK,250,2391000
1934,OR,437,985000
1934,PA,487,9795000
1934,RI,609,675000
1934,SC,207,1760000
1934,SD,190,682000
1934,TN,242,2784000
1934,TX,291,6053000
1934,UT,314,522000
1934,VA,323,2485000
1934,VT,381,357000
1934,WA,442,1610000
1934,WI,380,3054000
1934,WV,313,1771000
1934,WY,414,233000
1935,AL,216,2719000
1935,AR,204,1890000
1935,AZ,416,434000
1935,CA,665,6175000
1935,CO,445,1078000
1935,CT,715,1666000
1935,DC,1031,608000
1935,DE,706,252000
1935,FL,378,1613000
1935,GA,267,2955000
1935,IA,418,2524000
1935,ID,394,481000
1935,IL,576,7797000
1935,IN,419,3332000
1935,KS,360,1872000
1935,KY,264,2748000
1935,LA,289,2228000
1935,MA,653,4343000
1935,MD,558,1729000
1935,ME,435,836000
1935,MI,532,4838000
1935,MN,449,2717000
1935,MO,421,3798000
1935,MS,174,2061000
1935,MT,475,550000
1935,NC,267,3323000
1935,ND,271,670000
1935,NE,405,1375000
1935,NH,504,481000
1935,NJ,631,4085000
1935,NM,293,475000
1935,NV,667,100000
1935,NY,732,13375000
1935,OH,519,6787000
1935,OK,296,2386000
1935,OR,459,1001000
1935,PA,524,9774000
1935,RI,655,678000
1935,SC,228,1769000
1935,SD,305,674000
1935,TN,263,2798000
1935,TX,325,6123000
1935,UT,391,526000
1935,VA,354,2520000
1935,VT,415,357000
1935,WA,491,1629000
1935,WI,461,3070000
1935,WV,338,1794000
1935,WY,498,237000
1936,AL,249,2743000
1936,AR,243,1892000
1936,AZ,462,443000
1936,CA,776,6341000
1936,CO,542,1090000
1936,CT,815,1672000
1936,DC,1143,629000
1936,DE,872,253000
1936,FL,453,1651000
1936,GA,300,2978000
1936,IA,391,2509000
1936,ID,466,495000
1936,IL,654,7840000
1936,IN,481,3348000
1936,KS,387,1869000
1936,KY,293,2768000
1936,LA,328,2246000
1936,MA,725,4355000
1936,MD,627,1745000
1936,ME,509,840000
1936,MI,621,4889000
1936,MN,474,2734000
1936,MO,467,3801000
1936,MS,222,2072000
1936,MT,478,554000
1936,NC,294,3346000
1936,ND,238,664000
1936,NE,395,1358000
1936,NH,542,481000
1936,NJ,715,4084000
1936,NM,343,489000
1936,NV,845,101000
1936,NY,819,13481000
1936,OH,597,6801000
1936,OK,322,2365000
1936,OR,547,1025000
1936,PA,608,9767000
1936,RI,721,686000
1936,SC,256,1781000
1936,SD,248,666000
1936,TN,303,2791000
1936,TX,372,6192000
1936,UT,463,527000
1936,VA,394,2552000
1936,VT,470,357000
1936,WA,570,1653000
1936,WI,518,3082000
1936,WV,391,1808000
1936,WY,552,240000
1937,AL,266,2762000
1937,AR,253,1903000
1937,AZ,506,453000
1937,CA,801,6528000
1937,CO,534,1104000
1937,CT,870,1678000
1937,DC,1211,616000
1937,DE,955,254000
1937,FL,491,1709000
1937,GA,312,3037000
1937,IA,513,2498000
1937,ID,421,507000
1937,IL,734,7857000
1937,IN,546,3374000
1937,KS,427,1856000
1937,KY,339,2784000
1937,LA,352,2257000
1937,MA,742,4358000
1937,MD,674,1754000
1937,ME,514,842000
1937,MI,687,4968000
1937,MN,538,2746000
1937,MO,508,3794000
1937,MS,220,2086000
1937,MT,514,554000
1937,NC,321,3385000
1937,ND,324,655000
1937,NE,414,1339000
1937,NH,570,481000
1937,NJ,753,4088000
1937,NM,362,503000
1937,NV,775,103000
